1765908736.348951 server started (26601): version 3.6a, socket /tmp/tmux-1000/default, protocol 8
1765908736.348989 on Linux 6.17.9-arch1-1 #1 SMP PREEMPT_DYNAMIC Mon, 24 Nov 2025 15:21:09 +0000
1765908736.348999 using libevent 2.1.12-stable poll
1765908736.349003 using ncurses 6.5 20240427
1765908736.358205 cmd_parse_build_commands 0:1: -Z
1765908736.358210 args_parse_flags: next -Z
1765908736.358213 args_parse_flags: -Z
1765908736.358216 args_parse: flags end at 2 of 2
1765908736.358220 cmd_parse_build_commands: resize-pane -Z
1765908736.358222 args_parse_flags: next -N
1765908736.358226 args_parse_flag_argument: -N = Zoom the active pane
1765908736.358229 args_parse_flags: next z
1765908736.358231 args_parse: flags end at 3 of 5
1765908736.358234 args_parse: 3 = z (type STRING)
1765908736.358238 args_parse: 4 = resize-pane -Z (type COMMANDS)
1765908736.358246 cmd_parse_build_commands: bind-key -N "Zoom the active pane" z { resize-pane -Z }
1765908736.358251 cmdq_get_command: [bind-key/0x55cc6f7a4290] group 454
1765908736.358254 cmdq_append <global>: [bind-key/0x55cc6f7a4290]
1765908736.358260 yylex_token: end at WS
1765908736.358265 yylex_token: bind
1765908736.358270 yylex_token: end at WS
1765908736.358273 yylex_token: -N
1765908736.358278 yylex_token: end at WS
1765908736.358282 yylex_token: Swap the active pane with the pane above
1765908736.358286 yylex_token: end at WS
1765908736.358289 yylex_token: {
1765908736.358292 yylex_token: end at WS
1765908736.358296 yylex_token: swap-pane
1765908736.358302 yylex_token: end at WS
1765908736.358306 yylex_token: -U
1765908736.358314 cmd_parse_build_commands 0:0: bind
1765908736.358320 cmd_parse_build_commands 0:1: -N
1765908736.358323 cmd_parse_build_commands 0:2: Swap the active pane with the pane above
1765908736.358326 cmd_parse_build_commands 0:3: {
1765908736.358329 cmd_parse_build_commands 0:4 0:0: swap-pane
1765908736.358332 cmd_parse_build_commands 0:4 0:1: -U
1765908736.358336 cmd_parse_build_commands 0:0: swap-pane
1765908736.358339 cmd_parse_build_commands 0:1: -U
1765908736.358344 args_parse_flags: next -U
1765908736.358347 args_parse_flags: -U
1765908736.358350 args_parse: flags end at 2 of 2
1765908736.358353 cmd_parse_build_commands: swap-pane -U
1765908736.358356 args_parse_flags: next -N
1765908736.358360 args_parse_flag_argument: -N = Swap the active pane with the pane above
1765908736.358363 args_parse_flags: next {
1765908736.358365 args_parse: flags end at 3 of 5
1765908736.358368 args_parse: 3 = { (type STRING)
1765908736.358371 args_parse: 4 = swap-pane -U (type COMMANDS)
1765908736.358380 cmd_parse_build_commands: bind-key -N "Swap the active pane with the pane above" \\{ { swap-pane -U }
1765908736.358385 cmdq_get_command: [bind-key/0x55cc6f7a4840] group 462
1765908736.358387 cmdq_append <global>: [bind-key/0x55cc6f7a4840]
1765908736.358390 yylex_token: end at WS
1765908736.358393 yylex_token: bind
1765908736.358395 yylex_token: end at WS
1765908736.358398 yylex_token: -N
1765908736.358402 yylex_token: end at WS
1765908736.358405 yylex_token: Swap the active pane with the pane below
1765908736.358407 yylex_token: end at WS
1765908736.358410 yylex_token: }
1765908736.358413 yylex_token: end at WS
1765908736.358415 yylex_token: swap-pane
1765908736.358418 yylex_token: end at WS
1765908736.358420 yylex_token: -D
1765908736.358423 cmd_parse_build_commands 0:0: bind
1765908736.358426 cmd_parse_build_commands 0:1: -N
1765908736.358430 cmd_parse_build_commands 0:2: Swap the active pane with the pane below
1765908736.358432 cmd_parse_build_commands 0:3: }
1765908736.358435 cmd_parse_build_commands 0:4 0:0: swap-pane
1765908736.358438 cmd_parse_build_commands 0:4 0:1: -D
1765908736.358442 cmd_parse_build_commands 0:0: swap-pane
1765908736.358444 cmd_parse_build_commands 0:1: -D
1765908736.358450 args_parse_flags: next -D
1765908736.358453 args_parse_flags: -D
1765908736.358455 args_parse: flags end at 2 of 2
1765908736.358459 cmd_parse_build_commands: swap-pane -D
1765908736.358462 args_parse_flags: next -N
1765908736.358470 args_parse_flag_argument: -N = Swap the active pane with the pane below
1765908736.358473 args_parse_flags: next }
1765908736.358476 args_parse: flags end at 3 of 5
1765908736.358479 args_parse: 3 = } (type STRING)
1765908736.358482 args_parse: 4 = swap-pane -D (type COMMANDS)
1765908736.358495 cmd_parse_build_commands: bind-key -N "Swap the active pane with the pane below" \\} { swap-pane -D }
1765908736.358503 cmdq_get_command: [bind-key/0x55cc6f7a4d60] group 470
1765908736.358507 cmdq_append <global>: [bind-key/0x55cc6f7a4d60]
1765908736.358510 yylex_token: end at WS
1765908736.358513 yylex_token: bind
1765908736.358518 yylex_token: end at WS
1765908736.358523 yylex_token: -N
1765908736.358531 yylex_token: end at WS
1765908736.358536 yylex_token: Show messages
1765908736.358541 yylex_token: end at WS
1765908736.358543 yylex_token: ~
1765908736.358547 yylex_token: end at WS
1765908736.358550 yylex_token: show-messages
1765908736.358556 cmd_parse_build_commands 0:0: bind
1765908736.358562 cmd_parse_build_commands 0:1: -N
1765908736.358568 cmd_parse_build_commands 0:2: Show messages
1765908736.358572 cmd_parse_build_commands 0:3: ~
1765908736.358576 cmd_parse_build_commands 0:4 0:0: show-messages
1765908736.358580 cmd_parse_build_commands 0:0: show-messages
1765908736.358585 args_parse: flags end at 1 of 1
1765908736.358588 cmd_parse_build_commands: show-messages
1765908736.358591 args_parse_flags: next -N
1765908736.358598 args_parse_flag_argument: -N = Show messages
1765908736.358601 args_parse_flags: next ~
1765908736.358603 args_parse: flags end at 3 of 5
1765908736.358606 args_parse: 3 = ~ (type STRING)
1765908736.358610 args_parse: 4 = show-messages (type COMMANDS)
1765908736.358617 cmd_parse_build_commands: bind-key -N "Show messages" \\~ { show-messages }
1765908736.358621 cmdq_get_command: [bind-key/0x55cc6f7a5320] group 478
1765908736.358623 cmdq_append <global>: [bind-key/0x55cc6f7a5320]
1765908736.358626 yylex_token: end at WS
1765908736.358629 yylex_token: bind
1765908736.358631 yylex_token: end at WS
1765908736.358634 yylex_token: -N
1765908736.358637 yylex_token: end at WS
1765908736.358640 yylex_token: Enter copy mode and scroll up
1765908736.358643 yylex_token: end at WS
1765908736.358645 yylex_token: PPage
1765908736.358648 yylex_token: end at WS
1765908736.358650 yylex_token: copy-mode
1765908736.358653 yylex_token: end at WS
1765908736.358655 yylex_token: -u
1765908736.358659 cmd_parse_build_commands 0:0: bind
1765908736.358661 cmd_parse_build_commands 0:1: -N
1765908736.358664 cmd_parse_build_commands 0:2: Enter copy mode and scroll up
1765908736.358667 cmd_parse_build_commands 0:3: PPage
1765908736.358670 cmd_parse_build_commands 0:4 0:0: copy-mode
1765908736.358673 cmd_parse_build_commands 0:4 0:1: -u
1765908736.358676 cmd_parse_build_commands 0:0: copy-mode
1765908736.358679 cmd_parse_build_commands 0:1: -u
1765908736.358682 args_parse_flags: next -u
1765908736.358685 args_parse_flags: -u
1765908736.358688 args_parse: flags end at 2 of 2
1765908736.358691 cmd_parse_build_commands: copy-mode -u
1765908736.358694 args_parse_flags: next -N
1765908736.358697 args_parse_flag_argument: -N = Enter copy mode and scroll up
1765908736.358699 args_parse_flags: next PPage
1765908736.358702 args_parse: flags end at 3 of 5
1765908736.358705 args_parse: 3 = PPage (type STRING)
1765908736.358708 args_parse: 4 = copy-mode -u (type COMMANDS)
1765908736.358716 cmd_parse_build_commands: bind-key -N "Enter copy mode and scroll up" PPage { copy-mode -u }
1765908736.358723 cmdq_get_command: [bind-key/0x55cc6f7a5ed0] group 486
1765908736.358725 cmdq_append <global>: [bind-key/0x55cc6f7a5ed0]
1765908736.358728 yylex_token: end at WS
1765908736.358731 yylex_token: bind
1765908736.358734 yylex_token: end at WS
1765908736.358736 yylex_token: -N
1765908736.358740 yylex_token: end at WS
1765908736.358743 yylex_token: Select the pane above the active pane
1765908736.358745 yylex_token: end at WS
1765908736.358748 yylex_token: -r
1765908736.358764 yylex_token: end at WS
1765908736.358766 yylex_token: Up
1765908736.358777 yylex_token: end at WS
1765908736.358779 yylex_token: select-pane
1765908736.358781 yylex_token: end at WS
1765908736.358783 yylex_token: -U
1765908736.358786 cmd_parse_build_commands 0:0: bind
1765908736.358788 cmd_parse_build_commands 0:1: -N
1765908736.358791 cmd_parse_build_commands 0:2: Select the pane above the active pane
1765908736.358793 cmd_parse_build_commands 0:3: -r
1765908736.358795 cmd_parse_build_commands 0:4: Up
1765908736.358798 cmd_parse_build_commands 0:5 0:0: select-pane
1765908736.358800 cmd_parse_build_commands 0:5 0:1: -U
1765908736.358803 cmd_parse_build_commands 0:0: select-pane
1765908736.358806 cmd_parse_build_commands 0:1: -U
1765908736.358809 args_parse_flags: next -U
1765908736.358811 args_parse_flags: -U
1765908736.358814 args_parse: flags end at 2 of 2
1765908736.358817 cmd_parse_build_commands: select-pane -U
1765908736.358819 args_parse_flags: next -N
1765908736.358821 args_parse_flag_argument: -N = Select the pane above the active pane
1765908736.358824 args_parse_flags: next -r
1765908736.358826 args_parse_flags: -r
1765908736.358828 args_parse_flags: next Up
1765908736.358830 args_parse: flags end at 4 of 6
1765908736.358832 args_parse: 4 = Up (type STRING)
1765908736.358835 args_parse: 5 = select-pane -U (type COMMANDS)
1765908736.358842 cmd_parse_build_commands: bind-key -r -N "Select the pane above the active pane" Up { select-pane -U }
1765908736.358846 cmdq_get_command: [bind-key/0x55cc6f7a6540] group 494
1765908736.358848 cmdq_append <global>: [bind-key/0x55cc6f7a6540]
1765908736.358850 yylex_token: end at WS
1765908736.358852 yylex_token: bind
1765908736.358855 yylex_token: end at WS
1765908736.358856 yylex_token: -N
1765908736.358860 yylex_token: end at WS
1765908736.358862 yylex_token: Select the pane below the active pane
1765908736.358864 yylex_token: end at WS
1765908736.358866 yylex_token: -r
1765908736.358868 yylex_token: end at WS
1765908736.358870 yylex_token: Down
1765908736.358873 yylex_token: end at WS
1765908736.358875 yylex_token: select-pane
1765908736.358877 yylex_token: end at WS
1765908736.358879 yylex_token: -D
1765908736.358882 cmd_parse_build_commands 0:0: bind
1765908736.358884 cmd_parse_build_commands 0:1: -N
1765908736.358886 cmd_parse_build_commands 0:2: Select the pane below the active pane
1765908736.358888 cmd_parse_build_commands 0:3: -r
1765908736.358891 cmd_parse_build_commands 0:4: Down
1765908736.358893 cmd_parse_build_commands 0:5 0:0: select-pane
1765908736.358898 cmd_parse_build_commands 0:5 0:1: -D
1765908736.358901 cmd_parse_build_commands 0:0: select-pane
1765908736.358903 cmd_parse_build_commands 0:1: -D
1765908736.358907 args_parse_flags: next -D
1765908736.358909 args_parse_flags: -D
1765908736.358912 args_parse: flags end at 2 of 2
1765908736.358914 cmd_parse_build_commands: select-pane -D
1765908736.358917 args_parse_flags: next -N
1765908736.358919 args_parse_flag_argument: -N = Select the pane below the active pane
1765908736.358921 args_parse_flags: next -r
1765908736.358923 args_parse_flags: -r
1765908736.358925 args_parse_flags: next Down
1765908736.358928 args_parse: flags end at 4 of 6
1765908736.358930 args_parse: 4 = Down (type STRING)
1765908736.358933 args_parse: 5 = select-pane -D (type COMMANDS)
1765908736.358939 cmd_parse_build_commands: bind-key -r -N "Select the pane below the active pane" Down { select-pane -D }
1765908736.358942 cmdq_get_command: [bind-key/0x55cc6f7a7210] group 502
1765908736.358945 cmdq_append <global>: [bind-key/0x55cc6f7a7210]
1765908736.358947 yylex_token: end at WS
1765908736.358949 yylex_token: bind
1765908736.358951 yylex_token: end at WS
1765908736.358953 yylex_token: -N
1765908736.358957 yylex_token: end at WS
1765908736.358959 yylex_token: Select the pane to the left of the active pane
1765908736.358962 yylex_token: end at WS
1765908736.358963 yylex_token: -r
1765908736.358966 yylex_token: end at WS
1765908736.358968 yylex_token: Left
1765908736.358970 yylex_token: end at WS
1765908736.358972 yylex_token: select-pane
1765908736.358974 yylex_token: end at WS
1765908736.358979 yylex_token: -L
1765908736.358981 cmd_parse_build_commands 0:0: bind
1765908736.358984 cmd_parse_build_commands 0:1: -N
1765908736.358986 cmd_parse_build_commands 0:2: Select the pane to the left of the active pane
1765908736.358988 cmd_parse_build_commands 0:3: -r
1765908736.358991 cmd_parse_build_commands 0:4: Left
1765908736.358993 cmd_parse_build_commands 0:5 0:0: select-pane
1765908736.358996 cmd_parse_build_commands 0:5 0:1: -L
1765908736.359001 cmd_parse_build_commands 0:0: select-pane
1765908736.359003 cmd_parse_build_commands 0:1: -L
1765908736.359007 args_parse_flags: next -L
1765908736.359010 args_parse_flags: -L
1765908736.359012 args_parse: flags end at 2 of 2
1765908736.359015 cmd_parse_build_commands: select-pane -L
1765908736.359017 args_parse_flags: next -N
1765908736.359019 args_parse_flag_argument: -N = Select the pane to the left of the active pane
1765908736.359021 args_parse_flags: next -r
1765908736.359023 args_parse_flags: -r
1765908736.359026 args_parse_flags: next Left
1765908736.359028 args_parse: flags end at 4 of 6
1765908736.359030 args_parse: 4 = Left (type STRING)
1765908736.359033 args_parse: 5 = select-pane -L (type COMMANDS)
1765908736.359040 cmd_parse_build_commands: bind-key -r -N "Select the pane to the left of the active pane" Left { select-pane -L }
1765908736.359043 cmdq_get_command: [bind-key/0x55cc6f7a8000] group 510
1765908736.359046 cmdq_append <global>: [bind-key/0x55cc6f7a8000]
1765908736.359048 yylex_token: end at WS
1765908736.359050 yylex_token: bind
1765908736.359052 yylex_token: end at WS
1765908736.359054 yylex_token: -N
1765908736.359058 yylex_token: end at WS
1765908736.359060 yylex_token: Select the pane to the right of the active pane
1765908736.359062 yylex_token: end at WS
1765908736.359064 yylex_token: -r
1765908736.359066 yylex_token: end at WS
1765908736.359068 yylex_token: Right
1765908736.359071 yylex_token: end at WS
1765908736.359073 yylex_token: select-pane
1765908736.359075 yylex_token: end at WS
1765908736.359077 yylex_token: -R
1765908736.359080 cmd_parse_build_commands 0:0: bind
1765908736.359082 cmd_parse_build_commands 0:1: -N
1765908736.359085 cmd_parse_build_commands 0:2: Select the pane to the right of the active pane
1765908736.359087 cmd_parse_build_commands 0:3: -r
1765908736.359089 cmd_parse_build_commands 0:4: Right
1765908736.359092 cmd_parse_build_commands 0:5 0:0: select-pane
1765908736.359094 cmd_parse_build_commands 0:5 0:1: -R
1765908736.359097 cmd_parse_build_commands 0:0: select-pane
1765908736.359099 cmd_parse_build_commands 0:1: -R
1765908736.359103 args_parse_flags: next -R
1765908736.359105 args_parse_flags: -R
1765908736.359109 args_parse: flags end at 2 of 2
1765908736.359112 cmd_parse_build_commands: select-pane -R
1765908736.359114 args_parse_flags: next -N
1765908736.359117 args_parse_flag_argument: -N = Select the pane to the right of the active pane
1765908736.359119 args_parse_flags: next -r
1765908736.359121 args_parse_flags: -r
1765908736.359123 args_parse_flags: next Right
1765908736.359126 args_parse: flags end at 4 of 6
1765908736.359132 args_parse: 4 = Right (type STRING)
1765908736.359135 args_parse: 5 = select-pane -R (type COMMANDS)
1765908736.359150 cmd_parse_build_commands: bind-key -r -N "Select the pane to the right of the active pane" Right { select-pane -R }
1765908736.359156 cmdq_get_command: [bind-key/0x55cc6f7a8e10] group 518
1765908736.359158 cmdq_append <global>: [bind-key/0x55cc6f7a8e10]
1765908736.359161 yylex_token: end at WS
1765908736.359163 yylex_token: bind
1765908736.359165 yylex_token: end at WS
1765908736.359167 yylex_token: -N
1765908736.359170 yylex_token: end at WS
1765908736.359172 yylex_token: Set the even-horizontal layout
1765908736.359174 yylex_token: end at WS
1765908736.359176 yylex_token: M-1
1765908736.359179 yylex_token: end at WS
1765908736.359181 yylex_token: select-layout
1765908736.359183 yylex_token: end at WS
1765908736.359185 yylex_token: even-horizontal
1765908736.359188 cmd_parse_build_commands 0:0: bind
1765908736.359191 cmd_parse_build_commands 0:1: -N
1765908736.359196 cmd_parse_build_commands 0:2: Set the even-horizontal layout
1765908736.359200 cmd_parse_build_commands 0:3: M-1
1765908736.359202 cmd_parse_build_commands 0:4 0:0: select-layout
1765908736.359205 cmd_parse_build_commands 0:4 0:1: even-horizontal
1765908736.359208 cmd_parse_build_commands 0:0: select-layout
1765908736.359210 cmd_parse_build_commands 0:1: even-horizontal
1765908736.359214 args_parse_flags: next even-horizontal
1765908736.359216 args_parse: flags end at 1 of 2
1765908736.359219 args_parse: 1 = even-horizontal (type STRING)
1765908736.359223 cmd_parse_build_commands: select-layout even-horizontal
1765908736.359225 args_parse_flags: next -N
1765908736.359228 args_parse_flag_argument: -N = Set the even-horizontal layout
1765908736.359230 args_parse_flags: next M-1
1765908736.359232 args_parse: flags end at 3 of 5
1765908736.359234 args_parse: 3 = M-1 (type STRING)
1765908736.359238 args_parse: 4 = select-layout even-horizontal (type COMMANDS)
1765908736.359248 cmd_parse_build_commands: bind-key -N "Set the even-horizontal layout" M-1 { select-layout even-horizontal }
1765908736.359251 cmdq_get_command: [bind-key/0x55cc6f7aa060] group 526
1765908736.359254 cmdq_append <global>: [bind-key/0x55cc6f7aa060]
1765908736.359256 yylex_token: end at WS
1765908736.359258 yylex_token: bind
1765908736.359260 yylex_token: end at WS
1765908736.359262 yylex_token: -N
1765908736.359265 yylex_token: end at WS
1765908736.359267 yylex_token: Set the even-vertical layout
1765908736.359270 yylex_token: end at WS
1765908736.359272 yylex_token: M-2
1765908736.359274 yylex_token: end at WS
1765908736.359276 yylex_token: select-layout
1765908736.359279 yylex_token: end at WS
1765908736.359281 yylex_token: even-vertical
1765908736.359283 cmd_parse_build_commands 0:0: bind
1765908736.359286 cmd_parse_build_commands 0:1: -N
1765908736.359288 cmd_parse_build_commands 0:2: Set the even-vertical layout
1765908736.359290 cmd_parse_build_commands 0:3: M-2
1765908736.359293 cmd_parse_build_commands 0:4 0:0: select-layout
1765908736.359295 cmd_parse_build_commands 0:4 0:1: even-vertical
1765908736.359298 cmd_parse_build_commands 0:0: select-layout
1765908736.359300 cmd_parse_build_commands 0:1: even-vertical
1765908736.359304 args_parse_flags: next even-vertical
1765908736.359306 args_parse: flags end at 1 of 2
1765908736.359309 args_parse: 1 = even-vertical (type STRING)
1765908736.359312 cmd_parse_build_commands: select-layout even-vertical
1765908736.359314 args_parse_flags: next -N
1765908736.359317 args_parse_flag_argument: -N = Set the even-vertical layout
1765908736.359319 args_parse_flags: next M-2
1765908736.359321 args_parse: flags end at 3 of 5
1765908736.359324 args_parse: 3 = M-2 (type STRING)
1765908736.359327 args_parse: 4 = select-layout even-vertical (type COMMANDS)
1765908736.359333 cmd_parse_build_commands: bind-key -N "Set the even-vertical layout" M-2 { select-layout even-vertical }
1765908736.359338 cmdq_get_command: [bind-key/0x55cc6f7aae60] group 534
1765908736.359341 cmdq_append <global>: [bind-key/0x55cc6f7aae60]
1765908736.359343 yylex_token: end at WS
1765908736.359345 yylex_token: bind
1765908736.359347 yylex_token: end at WS
1765908736.359349 yylex_token: -N
1765908736.359352 yylex_token: end at WS
1765908736.359355 yylex_token: Set the main-horizontal layout
1765908736.359357 yylex_token: end at WS
1765908736.359359 yylex_token: M-3
1765908736.359361 yylex_token: end at WS
1765908736.359363 yylex_token: select-layout
1765908736.359366 yylex_token: end at WS
1765908736.359368 yylex_token: main-horizontal
1765908736.359370 cmd_parse_build_commands 0:0: bind
1765908736.359373 cmd_parse_build_commands 0:1: -N
1765908736.359375 cmd_parse_build_commands 0:2: Set the main-horizontal layout
1765908736.359377 cmd_parse_build_commands 0:3: M-3
1765908736.359380 cmd_parse_build_commands 0:4 0:0: select-layout
1765908736.359382 cmd_parse_build_commands 0:4 0:1: main-horizontal
1765908736.359385 cmd_parse_build_commands 0:0: select-layout
1765908736.359387 cmd_parse_build_commands 0:1: main-horizontal
1765908736.359391 args_parse_flags: next main-horizontal
1765908736.359396 args_parse: flags end at 1 of 2
1765908736.359398 args_parse: 1 = main-horizontal (type STRING)
1765908736.359401 cmd_parse_build_commands: select-layout main-horizontal
1765908736.359403 args_parse_flags: next -N
1765908736.359406 args_parse_flag_argument: -N = Set the main-horizontal layout
1765908736.359408 args_parse_flags: next M-3
1765908736.359410 args_parse: flags end at 3 of 5
1765908736.359412 args_parse: 3 = M-3 (type STRING)
1765908736.359416 args_parse: 4 = select-layout main-horizontal (type COMMANDS)
1765908736.359422 cmd_parse_build_commands: bind-key -N "Set the main-horizontal layout" M-3 { select-layout main-horizontal }
1765908736.359425 cmdq_get_command: [bind-key/0x55cc6f7abc90] group 542
1765908736.359427 cmdq_append <global>: [bind-key/0x55cc6f7abc90]
1765908736.359429 yylex_token: end at WS
1765908736.359431 yylex_token: bind
1765908736.359433 yylex_token: end at WS
1765908736.359435 yylex_token: -N
1765908736.359438 yylex_token: end at WS
1765908736.359440 yylex_token: Set the main-vertical layout
1765908736.359443 yylex_token: end at WS
1765908736.359445 yylex_token: M-4
1765908736.359447 yylex_token: end at WS
1765908736.359449 yylex_token: select-layout
1765908736.359452 yylex_token: end at WS
1765908736.359454 yylex_token: main-vertical
1765908736.359459 cmd_parse_build_commands 0:0: bind
1765908736.359461 cmd_parse_build_commands 0:1: -N
1765908736.359463 cmd_parse_build_commands 0:2: Set the main-vertical layout
1765908736.359466 cmd_parse_build_commands 0:3: M-4
1765908736.359468 cmd_parse_build_commands 0:4 0:0: select-layout
1765908736.359471 cmd_parse_build_commands 0:4 0:1: main-vertical
1765908736.359474 cmd_parse_build_commands 0:0: select-layout
1765908736.359476 cmd_parse_build_commands 0:1: main-vertical
1765908736.359479 args_parse_flags: next main-vertical
1765908736.359482 args_parse: flags end at 1 of 2
1765908736.359484 args_parse: 1 = main-vertical (type STRING)
1765908736.359487 cmd_parse_build_commands: select-layout main-vertical
1765908736.359489 args_parse_flags: next -N
1765908736.359492 args_parse_flag_argument: -N = Set the main-vertical layout
1765908736.359494 args_parse_flags: next M-4
1765908736.359496 args_parse: flags end at 3 of 5
1765908736.359498 args_parse: 3 = M-4 (type STRING)
1765908736.359501 args_parse: 4 = select-layout main-vertical (type COMMANDS)
1765908736.359507 cmd_parse_build_commands: bind-key -N "Set the main-vertical layout" M-4 { select-layout main-vertical }
1765908736.359510 cmdq_get_command: [bind-key/0x55cc6f7aca90] group 550
1765908736.359512 cmdq_append <global>: [bind-key/0x55cc6f7aca90]
1765908736.359515 yylex_token: end at WS
1765908736.359517 yylex_token: bind
1765908736.359519 yylex_token: end at WS
1765908736.359521 yylex_token: -N
1765908736.359523 yylex_token: end at WS
1765908736.359526 yylex_token: Select the tiled layout
1765908736.359528 yylex_token: end at WS
1765908736.359530 yylex_token: M-5
1765908736.359532 yylex_token: end at WS
1765908736.359534 yylex_token: select-layout
1765908736.359536 yylex_token: end at WS
1765908736.359538 yylex_token: tiled
1765908736.359541 cmd_parse_build_commands 0:0: bind
1765908736.359543 cmd_parse_build_commands 0:1: -N
1765908736.359546 cmd_parse_build_commands 0:2: Select the tiled layout
1765908736.359548 cmd_parse_build_commands 0:3: M-5
1765908736.359553 cmd_parse_build_commands 0:4 0:0: select-layout
1765908736.359555 cmd_parse_build_commands 0:4 0:1: tiled
1765908736.359558 cmd_parse_build_commands 0:0: select-layout
1765908736.359560 cmd_parse_build_commands 0:1: tiled
1765908736.359564 args_parse_flags: next tiled
1765908736.359566 args_parse: flags end at 1 of 2
1765908736.359569 args_parse: 1 = tiled (type STRING)
1765908736.359572 cmd_parse_build_commands: select-layout tiled
1765908736.359574 args_parse_flags: next -N
1765908736.359576 args_parse_flag_argument: -N = Select the tiled layout
1765908736.359578 args_parse_flags: next M-5
1765908736.359581 args_parse: flags end at 3 of 5
1765908736.359583 args_parse: 3 = M-5 (type STRING)
1765908736.359588 args_parse: 4 = select-layout tiled (type COMMANDS)
1765908736.359594 cmd_parse_build_commands: bind-key -N "Select the tiled layout" M-5 { select-layout tiled }
1765908736.359597 cmdq_get_command: [bind-key/0x55cc6f7ad7a0] group 558
1765908736.359599 cmdq_append <global>: [bind-key/0x55cc6f7ad7a0]
1765908736.359602 yylex_token: end at WS
1765908736.359604 yylex_token: bind
1765908736.359606 yylex_token: end at WS
1765908736.359608 yylex_token: -N
1765908736.359611 yylex_token: end at WS
1765908736.359613 yylex_token: Set the main-horizontal-mirrored layout
1765908736.359616 yylex_token: end at WS
1765908736.359618 yylex_token: M-6
1765908736.359620 yylex_token: end at WS
1765908736.359622 yylex_token: select-layout
1765908736.359625 yylex_token: end at WS
1765908736.359627 yylex_token: main-horizontal-mirrored
1765908736.359630 cmd_parse_build_commands 0:0: bind
1765908736.359632 cmd_parse_build_commands 0:1: -N
1765908736.359635 cmd_parse_build_commands 0:2: Set the main-horizontal-mirrored layout
1765908736.359637 cmd_parse_build_commands 0:3: M-6
1765908736.359639 cmd_parse_build_commands 0:4 0:0: select-layout
1765908736.359642 cmd_parse_build_commands 0:4 0:1: main-horizontal-mirrored
1765908736.359645 cmd_parse_build_commands 0:0: select-layout
1765908736.359649 cmd_parse_build_commands 0:1: main-horizontal-mirrored
1765908736.359653 args_parse_flags: next main-horizontal-mirrored
1765908736.359655 args_parse: flags end at 1 of 2
1765908736.359657 args_parse: 1 = main-horizontal-mirrored (type STRING)
1765908736.359661 cmd_parse_build_commands: select-layout main-horizontal-mirrored
1765908736.359664 args_parse_flags: next -N
1765908736.359666 args_parse_flag_argument: -N = Set the main-horizontal-mirrored layout
1765908736.359668 args_parse_flags: next M-6
1765908736.359670 args_parse: flags end at 3 of 5
1765908736.359673 args_parse: 3 = M-6 (type STRING)
1765908736.359677 args_parse: 4 = select-layout main-horizontal-mirrored (type COMMANDS)
1765908736.359684 cmd_parse_build_commands: bind-key -N "Set the main-horizontal-mirrored layout" M-6 { select-layout main-horizontal-mirrored }
1765908736.359687 cmdq_get_command: [bind-key/0x55cc6f7ae640] group 566
1765908736.359689 cmdq_append <global>: [bind-key/0x55cc6f7ae640]
1765908736.359692 yylex_token: end at WS
1765908736.359694 yylex_token: bind
1765908736.359696 yylex_token: end at WS
1765908736.359698 yylex_token: -N
1765908736.359701 yylex_token: end at WS
1765908736.359703 yylex_token: Set the main-vertical-mirrored layout
1765908736.359705 yylex_token: end at WS
1765908736.359707 yylex_token: M-7
1765908736.359710 yylex_token: end at WS
1765908736.359712 yylex_token: select-layout
1765908736.359714 yylex_token: end at WS
1765908736.359716 yylex_token: main-vertical-mirrored
1765908736.359719 cmd_parse_build_commands 0:0: bind
1765908736.359722 cmd_parse_build_commands 0:1: -N
1765908736.359724 cmd_parse_build_commands 0:2: Set the main-vertical-mirrored layout
1765908736.359726 cmd_parse_build_commands 0:3: M-7
1765908736.359729 cmd_parse_build_commands 0:4 0:0: select-layout
1765908736.359731 cmd_parse_build_commands 0:4 0:1: main-vertical-mirrored
1765908736.359734 cmd_parse_build_commands 0:0: select-layout
1765908736.359736 cmd_parse_build_commands 0:1: main-vertical-mirrored
1765908736.359740 args_parse_flags: next main-vertical-mirrored
1765908736.359742 args_parse: flags end at 1 of 2
1765908736.359745 args_parse: 1 = main-vertical-mirrored (type STRING)
1765908736.359750 cmd_parse_build_commands: select-layout main-vertical-mirrored
1765908736.359753 args_parse_flags: next -N
1765908736.359755 args_parse_flag_argument: -N = Set the main-vertical-mirrored layout
1765908736.359757 args_parse_flags: next M-7
1765908736.359759 args_parse: flags end at 3 of 5
1765908736.359762 args_parse: 3 = M-7 (type STRING)
1765908736.359765 args_parse: 4 = select-layout main-vertical-mirrored (type COMMANDS)
1765908736.359772 cmd_parse_build_commands: bind-key -N "Set the main-vertical-mirrored layout" M-7 { select-layout main-vertical-mirrored }
1765908736.359777 cmdq_get_command: [bind-key/0x55cc6f7af520] group 574
1765908736.359780 cmdq_append <global>: [bind-key/0x55cc6f7af520]
1765908736.359782 yylex_token: end at WS
1765908736.359784 yylex_token: bind
1765908736.359786 yylex_token: end at WS
1765908736.359788 yylex_token: -N
1765908736.359791 yylex_token: end at WS
1765908736.359793 yylex_token: Select the next window with an alert
1765908736.359796 yylex_token: end at WS
1765908736.359797 yylex_token: M-n
1765908736.359800 yylex_token: end at WS
1765908736.359802 yylex_token: next-window
1765908736.359804 yylex_token: end at WS
